hero1,hero2,hero3,hero4,hero5,result
14,75,77,87,94,1
31,57,60,61,90,1
31,41,72,113,118,1
1,57,60,67,81,0
55,64,71,98,107,0
55,72,75,87,106,1
24,77,106,107,109,1
9,18,24,61,119,1
31,60,61,72,115,0
31,32,54,61,87,1
24,31,50,51,61,0
8,24,37,72,73,1
21,24,31,72,73,0
24,61,75,84,87,0
1,31,57,87,106,1
18,87,106,113,118,0
2,14,29,94,122,0
24,31,43,67,114,1
2,14,77,89,100,1
24,67,69,92,121,0
0,14,57,89,91,0
2,27,35,72,92,0
23,40,72,92,100,0
14,27,31,89,110,0
2,13,77,83,94,1
9,33,67,74,104,1
13,43,92,104,116,0
25,31,61,77,113,0
31,36,46,97,104,1
31,35,46,50,99,1
36,55,57,82,92,1
24,46,60,97,118,0
31,46,62,89,104,1
5,36,55,72,110,1
33,55,90,92,110,1
26,35,67,77,120,1
33,92,94,104,108,1
9,33,35,47,67,1
57,60,73,84,105,1
33,35,36,46,55,1
64,72,97,104,116,1
36,57,60,62,84,1
11,33,50,85,94,1
5,18,24,31,35,1
33,47,68,74,119,1
3,5,72,77,105,1
15,33,67,108,122,0
2,32,57,74,92,1
27,33,55,82,92,1
26,57,70,72,74,0
33,35,46,47,67,1
38,2,32,57,97,0
24,31,82,90,92,1
15,33,35,55,92,1
15,35,47,50,116,1
24,33,35,92,104,1
47,75,87,90,121,1
5,36,71,75,84,1
5,27,72,92,116,1
9,47,67,99,109,0
20,33,67,77,94,0
26,47,55,102,116,0
18,35,46,50,92,1
9,72,77,110,116,1
12,38,69,88,92,1
57,91,109,113,119,1
3,36,55,84,105,1
24,31,62,72,77,1
31,32,35,46,92,0
5,33,89,94,99,1
35,36,50,57,116,1
5,36,47,105,110,0
28,31,90,92,99,1
18,50,57,75,110,1
9,24,27,33,119,1
5,18,47,75,99,1
18,33,55,69,110,1
5,20,50,67,75,1
26,75,90,92,99,1
47,55,67,74,116,0
55,62,75,77,92,1
5,28,60,81,109,1
60,77,100,101,109,1
28,57,60,96,109,0
24,74,75,84,85,1
27,38,47,94,119,1
5,33,47,89,94,0
26,47,67,75,121,1
5,38,75,81,84,1
11,24,33,87,100,1
5,24,60,63,119,1
5,12,45,109,119,1
14,53,55,85,119,1
5,24,72,109,113,0
0,27,77,110,119,0
37,38,78,82,119,0
25,53,57,84,103,1
14,46,53,77,85,1
26,48,78,93,118,0
18,19,53,55,84,0
11,26,36,75,78,1
37,55,60,78,84,1
51,53,85,86,101,0
4,12,44,72,119,0
2,5,18,78,99,0
13,18,40,44,99,1
12,28,44,90,109,1
26,38,72,99,119,1
72,98,99,101,105,1
27,36,37,103,105,1
44,50,57,68,78,1
13,40,57,72,99,1
36,68,84,99,103,1
35,4,38,40,84,1
7,35,37,66,88,0
54,67,75,77,91,0
5,7,17,21,105,1
26,27,36,57,99,0
17,31,47,84,111,1
17,35,92,109,110,1
31,44,72,84,100,1
47,66,89,90,105,1
31,70,72,106,108,1
2,30,61,72,118,1
24,43,60,95,109,0
37,44,84,88,95,0
14,17,69,97,119,1
18,20,41,53,72,0
17,30,74,105,111,1
6,41,47,84,91,1
4,38,47,84,119,0
3,6,41,79,95,1
41,66,72,97,113,1
17,29,30,70,74,0
17,18,44,72,111,1
50,75,95,99,104,0
6,9,47,61,111,1
6,44,47,54,97,1
31,44,49,66,72,0
44,72,91,96,113,0
17,46,50,71,72,0
17,61,105,108,111,1
6,14,41,47,97,1
61,65,88,95,103,0
7,31,61,64,94,1
6,31,50,61,101,1
6,9,54,61,112,1
7,8,31,62,92,1
7,31,41,91,108,0
8,61,70,72,97,1
6,35,60,72,111,1
6,65,72,92,97,1
25,32,35,41,54,1
31,50,55,92,100,1
18,24,30,62,119,1
45,46,89,104,119,1
1,18,24,30,89,0
16,92,101,103,121,1
6,24,35,40,119,1
25,31,55,100,103,1
30,33,40,53,114,1
46,47,61,68,92,1
10,31,35,64,115,1
2,32,60,84,121,1
15,21,31,55,62,1
27,31,55,73,89,1
41,43,47,72,83,1
17,45,46,61,92,1
6,27,55,92,100,1
24,30,31,92,100,0
32,41,51,55,110,1
22,45,53,101,114,1
45,61,65,70,119,1
54,68,75,77,104,1
6,31,46,47,61,1
25,41,54,72,110,0
30,41,47,62,64,0
9,83,94,103,109,1
6,45,53,55,109,1
33,45,54,89,104,0
28,68,101,115,117,0
6,36,45,53,66,1
24,101,103,104,121,1
8,62,92,103,109,1
6,21,45,54,103,1
6,9,45,53,92,1
8,25,40,45,83,1
40,62,72,75,95,1
32,45,54,101,117,1
36,54,83,115,121,1
6,32,53,107,112,1
62,66,95,103,119,0
36,45,54,70,103,1
13,77,92,99,101,1
8,32,45,48,117,1
8,62,80,92,101,1
13,45,57,92,121,0
36,47,95,99,101,1
45,6,72,80,99,1
6,40,62,92,101,1
6,20,24,53,72,0
54,83,101,104,115,0
50,85,99,101,107,1
54,92,96,101,110,0
6,28,45,72,83,0
6,13,45,60,118,0
25,67,80,100,101,1
17,32,54,101,117,1
8,36,96,106,117,1
2,57,63,92,96,0
27,42,80,107,121,1
36,45,46,73,117,1
11,21,81,99,101,1
24,45,80,92,107,0
42,81,100,101,105,1
32,35,70,101,117,1
73,77,89,92,101,1
41,73,90,92,96,1
41,47,51,57,62,0
6,26,61,81,105,1
2,17,27,77,105,0
28,42,45,95,98,0
32,36,48,72,73,1
61,66,81,85,117,0
20,67,99,104,117,0
27,36,96,100,119,1
6,11,36,45,99,0
6,29,32,62,65,1
0,41,58,90,96,1
6,24,30,45,99,1
60,75,80,84,110,1
3,60,84,96,109,1
6,26,58,75,77,1
0,3,11,44,87,1
24,29,43,45,75,1
26,61,77,79,110,1
8,18,42,72,74,1
27,32,35,44,105,1
24,29,57,104,116,1
35,60,64,84,105,0
36,62,65,72,77,0
0,26,44,61,99,1
26,27,35,36,80,1
41,57,88,96,110,0
32,41,50,57,109,0
6,26,74,75,77,0
11,24,61,72,87,1
11,50,61,85,87,1
11,47,61,69,87,1
15,27,69,75,92,1
3,45,87,108,120,1
6,81,99,104,105,1
19,26,32,73,75,0
24,35,42,57,105,0
43,48,50,56,64,0
26,35,61,77,116,1
14,61,75,77,118,1
22,38,44,64,75,0
24,26,78,84,119,0
1,57,115,116,118,1
8,53,104,116,122,1
8,60,100,115,116,0
30,94,105,117,122,0
12,29,81,103,116,1
24,35,57,83,116,1
22,32,33,63,87,1
12,41,56,81,104,1
22,35,80,87,116,0
29,64,81,99,116,1
52,56,81,115,116,1
